# DEPRECATED 2026-04-16: Results below produced by engine with flip-accounting bug.
# Sharpe, win rate, return, and profit factor are unreliable for strategies that
# emit sign-flip signals (most strategies). Rerun on fixed engine before trusting.
# See strategies/30m-concentrated/LIVE_RECONCILIATION.md for details.
exp	split	score	sharpe	return_pct	max_dd_pct	trades	win_rate	profit_factor	symbols	date	notes
baseline	val	-999.00	-20.63	-96.7	96.7235	31479	76.4	9.35	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-27	vol-targeted sizing, 2% daily vol target
baseline-v2	val	-999.00	-15.36	-77.5	77.5235	31479	76.4	9.83	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-27	sqrt vol scaling, 2.5x cap
exp0-current-defaults	val	-16.25	-2.78	-5.9	8.6971	31479	76.4	10.20	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-27	BASE=0.08 MAX=0.15 TARGET_VOL=0.015 LOOKBACK=48
exp1-base12	val	-16.25	-2.78	-5.9	8.6971	31479	76.4	10.20	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-27	BASE=0.12 MAX=0.15 TARGET_VOL=0.015
exp1-base12-max20	val	-999.00	-3.02	-9.5	12.8756	31479	76.4	10.17	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-27	BASE=0.12 MAX=0.20 TARGET_VOL=0.015 LOOKBACK=48
exp2-cooldown4-tp35	val	-14.31	-2.66	-5.0	6.8078	22973	78.7	12.03	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-27	COOLDOWN=4 TP=3.5% reduce trade frequency
exp3-proven-base-voltarget	val	24.03	1.60	8.5	4.9412	9774	80.8	16.47	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-27	Rebuilt on proven 30m architecture + vol sizing, 3 coins, BASE=0.08 TARGET_VOL=0.01
exp4-base15-max25	val	153.09	5.71	63.8	4.1235	9774	80.8	16.55	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-27	BASE=0.15 MAX=0.25 MIN=0.05 push sizing
exp5-base25-max40	val	298.53	7.27	169.7	5.8258	9774	80.8	16.65	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-27	BASE=0.25 MAX=0.40 MIN=0.08 aggressive push
exp6-base40-max60	val	623.76	10.30	668.6	6.1358	9774	80.8	16.92	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-27	BASE=0.40 MAX=0.60 MIN=0.12 very aggressive
exp7-base55-max80	val	892.48	11.49	1894.7	7.7128	9774	80.8	17.20	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-27	BASE=0.55 MAX=0.80 MIN=0.15 pushing limits
exp8-base65-max90	val	1165.02	13.29	4546.6	7.5257	9774	80.8	17.46	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-27	BASE=0.65 MAX=0.90 MIN=0.18 near DD limit
exp9-base75-max100	val	1424.33	14.75	10160.8	7.3155	9774	80.8	17.71	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-27	BASE=0.75 MAX=1.0 MIN=0.20 max push
exp10-base90-max120	val	1603.41	14.30	21477.1	8.5563	9774	80.8	17.94	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-27	BASE=0.90 MAX=1.2 MIN=0.25 extreme push
exp11-base100-max140	val	-999.00	11.99	20952.1	11.4732	9774	80.8	17.90	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-27	BASE=1.0 MAX=1.4 MIN=0.28 pushing DD limit
exp12-base95-max130	val	-999.00	13.08	21605.6	10.0205	9774	80.8	17.92	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-27	BASE=0.95 MAX=1.3 MIN=0.26 fine tuning DD boundary
exp13-tvol005	val	-999.00	3.41	251.3	20.4278	8994	79.8	16.34	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-27	TARGET_VOL=0.005 (lower target = bigger when calm)
exp14-tvol015	val	2111.06	18.18	78311.6	7.0472	10009	80.9	19.10	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-27	TARGET_VOL=0.015 (higher target = less adjustment)
exp15-tvol020	val	2300.06	18.37	102531.3	5.0917	10088	81.0	19.29	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-27	TARGET_VOL=0.02 (even less vol-scaling)
exp16-tvol025	val	2346.05	18.34	109447.1	4.6260	10114	81.0	19.25	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-27	TARGET_VOL=0.025
bear	2024-07-01_2024-09-30	666.34	17.62	745.3	5.5011	3419	80.4	14.82	BTC/ETH/SOL	2026-03-27	Bear: BTC 63K->54K
choppy	2025-01-01_2025-03-31	854.29	19.60	1320.1	4.3639	3244	80.4	19.67	BTC/ETH/SOL	2026-03-27	Choppy: BTC 90-100K consolidation
bull	2024-10-01_2025-01-31	943.49	17.09	1826.8	5.0862	4428	81.7	15.58	BTC/ETH/SOL	2026-03-27	Bull: BTC 60K->100K+
split-test	val	2304.70	18.15	110733.6	5.5011	10127	81.0	19.28	BTC/ETH/SOL	2026-03-27	OOS validation
train-long	2023-06-01_2024-06-30	-999.00	14.04	108643.9	19.6882	11909	78.9	18.79	BTC/ETH/SOL	2026-03-27	Full train: 13 months, Jun23-Jun24
