exp	split	score	sharpe	return_pct	max_dd_pct	trades	win_rate	profit_factor	symbols	date	notes
baseline	val	3.07	3.07	46.6	12.0746	815	55.8	1.70	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	Vol mean-reversion baseline: BB-based regime detection, MR in high-vol, breakout in low-vol
exp1-vectorize	val	2.03	2.03	48.2	13.6259	1318	55.0	1.38	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	Vectorize bb_width_percentile and vol_zscore: sliding_window_view instead of Python loops
exp2-vectorize-exact	val	2.07	2.11	52.4	15.8766	1310	54.6	1.43	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	Vectorize bb_width_percentile matching original off-by-one exactly
exp3-baseline-verify	val	2.07	2.11	52.4	15.8766	1310	54.6	1.43	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	Verify baseline timing with original unmodified code
exp4-vectorize-verified	val	2.07	2.11	52.4	15.8766	1310	54.6	1.43	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	Vectorized BB width matching original exactly - verify score match
exp5-half-size-3pos	val	0.82	0.82	4.6	4.4959	727	52.8	1.17	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	Position size 0.08->0.04, max positions 6->3 for DD reduction
exp6-moderate-size-tighter-stops	val	2.56	2.56	33.5	6.3618	1136	52.3	1.58	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	Position 0.06, ATR_STOP 3.0/5.0, max pos 4
exp7-smaller-tighter	val	1.67	1.67	16.0	5.2893	1380	49.7	1.31	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	Position 0.05, ATR_STOP 2.5/4.5, max pos 4
exp8-rsi-75-25	val	2.48	2.48	33.1	6.0268	1084	52.4	1.61	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	RSI thresholds 70/30->75/25 for higher conviction entries
exp9-regime-75-25	val	2.04	2.04	25.9	6.5687	1186	54.1	1.44	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	Regime thresholds 80/20->75/25: more signals, wider regime bands
exp10-regime-85-15	val	0.91	0.91	9.4	6.7645	1174	52.5	1.18	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	Regime thresholds 80/20->85/15: more extreme regime detection
exp11-per-coin-only	val	2.08	2.08	26.6	7.2557	1124	52.0	1.42	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	Per-coin regime only, no BTC global override
exp12-cooldown-4	val	2.46	2.46	31.8	6.4490	1134	54.9	1.56	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	Cooldown 2->4 bars to reduce whipsaws
exp13-momentum-confirm	val	2.27	2.27	29.4	5.9005	1068	52.8	1.53	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	Momentum confirmation for high-vol MR entries: require price already reversing
exp14-dd-brake-trade-limit	val	2.35	2.35	25.7	4.7919	1136	52.3	1.56	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	DD brake (halve size at 3% DD), max trade loss 1.5% of equity
exp15-dd-brake-tuned	val	2.20	2.20	25.0	5.7350	1136	52.3	1.51	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	DD brake 4% trigger (was 3%), max trade loss 2% (was 1.5%)
exp16-size-0.07-dd-brake	val	2.23	2.23	26.5	5.2139	1136	52.3	1.54	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	Position size 0.06->0.07 with DD brake+trade limit still active
exp17-5pos	val	2.44	2.44	29.8	4.7140	1465	55.1	1.55	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	Max positions 4->5 with DD brake+trade limit
exp18-6pos	val	1.26	1.26	12.9	6.4897	1782	51.0	1.24	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	Max positions 5->6 with DD brake+trade limit
exp19-hysteresis-3	val	1.03	1.03	9.2	6.4108	1529	52.0	1.20	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	Regime hysteresis: require 3 consecutive bars to confirm regime change
exp20-sma-confirm	val	2.49	2.49	31.4	5.0637	1419	54.3	1.54	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	SMA20 confirmation for MR entries: short only above SMA, long only below SMA
exp21-dd-brake-2.5pct	val	2.53	2.53	31.0	4.7363	1419	54.3	1.56	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	DD brake 3%->2.5% trigger with SMA confirmation
exp22-dd-brake-2pct	val	2.34	2.34	25.4	4.3840	1419	54.3	1.52	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	DD brake 2.5%->2% trigger
exp23-bb-squeeze	val	1.38	1.38	11.6	9.0401	1689	54.8	1.26	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	BB squeeze filter for low-vol entries: only enter when pctile < 10
exp24-sma-target-exit	val	2.19	2.19	25.8	5.1731	1447	56.7	1.52	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	MR exit: target SMA20 or RSI 65/35 (was RSI 60/40 only)
exp25-mr-only	val	-1.13	-1.13	-6.7	10.1114	2096	62.6	0.93	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	High-vol MR only, disable low-vol breakout entries
exp26-asym-short-stops	val	2.01	2.01	20.4	5.2536	1617	55.1	1.36	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	Asymmetric stops: shorts get 0.8x tighter stops (crypto upward bias)
exp27-bb-14	val	1.88	1.88	21.2	5.8419	1481	51.9	1.38	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	BB period 20->14 for more responsive regime detection
exp28-bb-24	val	1.75	1.75	17.4	4.9971	1499	53.8	1.32	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	BB period 20->24 for more stable regime detection
exp29-rsi-14	val	1.13	1.13	10.2	5.0029	1239	49.3	1.21	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	RSI period 8->14 for smoother MR signals
exp30-rsi-5	val	0.94	0.94	7.7	6.5466	1707	54.2	1.20	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	RSI period 8->5 for faster MR signals
exp31-lowvol-ema-exit	val	1.47	1.47	12.9	6.1217	3129	42.1	1.26	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	Low-vol breakout exit: close when EMA crossover flips direction
exp32-ema-12-26	val	2.33	2.33	27.2	4.8973	1427	54.4	1.52	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	EMA pair 7/26->12/26 for low-vol breakouts
exp33-time-exit-48	val	2.73	2.73	27.6	4.9614	2241	57.7	1.38	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	Time-based exit for low-vol breakouts: close after 48 bars if unresolved
exp34-time-exit-36	val	3.66	3.66	47.6	4.0185	2470	59.8	1.55	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	Time-based exit 48->36 bars for low-vol breakouts
exp35-time-exit-24	val	1.45	1.45	13.3	6.8763	3033	57.2	1.21	AVAX/BTC/DOGE/ETH/LINK/SOL/SUI/XRP	2026-03-26	Time-based exit 36->24 bars for low-vol breakouts
