exp	split	score	sharpe	return_pct	max_dd_pct	trades	win_rate	profit_factor	symbols	date	notes
exp0	val	21.33	21.33	85.6	0.3753	8466	80.5	17.75	BTC/ETH/SOL	2026-03-23	seed 30m strategy adapted from 1h champion
exp4	val	21.37	21.37	85.7	0.3753	8462	80.5	17.95	BTC/ETH/SOL	2026-03-23	wider ATR stop 5.5->6.5 (let winners run)
exp6	val	21.41	21.41	86.0	0.3753	8454	80.7	18.17	BTC/ETH/SOL	2026-03-23	faster EMA 14/52->10/42
exp8	val	21.58	21.59	84.1	0.3519	8667	80.6	17.36	BTC/ETH/SOL	2026-03-23	faster MACD 20/40/12->16/32/10
exp9	val	21.87	21.89	83.5	0.3369	8779	80.7	17.39	BTC/ETH/SOL	2026-03-23	faster MACD 16/32/10->12/26/9
exp10	val	21.90	21.92	83.0	0.3369	8822	81.0	17.51	BTC/ETH/SOL	2026-03-23	faster MACD 12/26/9->10/22/8
exp12	val	22.39	22.45	84.4	0.3229	9604	81.7	18.03	BTC/ETH/SOL	2026-03-23	RSI period 12->10
exp14	val	22.65	22.71	81.4	0.2517	9817	80.4	16.51	BTC/ETH/SOL	2026-03-23	shorter momentum 12/24/72->10/20/60
exp15	val	22.66	22.71	82.5	0.2517	9639	80.8	16.60	BTC/ETH/SOL	2026-03-23	shorter momentum 10/20/60->8/16/48
exp16	val	23.18	23.25	83.2	0.2254	9698	80.9	16.72	BTC/ETH/SOL	2026-03-23	BB period 14->10 (faster compression detection)
exp18	val	23.26	23.33	83.5	0.2415	9856	80.9	16.62	BTC/ETH/SOL	2026-03-23	lower threshold 0.012->0.010
exp24	val	23.29	23.38	83.7	0.2415	9958	81.0	16.75	BTC/ETH/SOL	2026-03-23	widen threshold range floor 0.006->0.005, cap 0.020->0.018
exp55	val	23.36	23.45	83.7	0.2454	9992	81.1	16.63	BTC/ETH/SOL	2026-03-23	MACD slow 22->20, signal 8->7
exp58	val	23.89	23.98	83.2	0.2083	9941	81.0	16.97	BTC/ETH/SOL	2026-03-23	coordinated faster: SHORT=6, MED=14, MACD_FAST=8
exp61	val	23.93	24.01	83.4	0.2083	9945	80.9	16.88	BTC/ETH/SOL	2026-03-23	EMA fast 10->8
exp71	val	23.96	24.05	83.6	0.2083	9969	80.9	16.45	BTC/ETH/SOL	2026-03-23	add 3% take-profit exit
exp72	val	24.31	24.40	83.5	0.2083	9988	80.9	16.57	BTC/ETH/SOL	2026-03-23	take-profit 3%->2.5%
exp75	val	24.33	24.41	84.2	0.2083	9980	81.0	16.73	BTC/ETH/SOL	2026-03-23	take-profit 2.5%->2.7%
exp81	val	24.34	24.41	84.8	0.1960	9819	80.9	16.69	BTC/ETH/SOL	2026-03-23	short momentum factor 0.7->0.8
exp82	val	24.53	24.60	85.6	0.1960	9710	80.7	16.75	BTC/ETH/SOL	2026-03-23	short momentum factor 0.8->0.9
exp83	val	24.58	24.64	86.3	0.1970	9596	80.7	16.91	BTC/ETH/SOL	2026-03-23	short momentum factor 0.9->1.0 (same as medium)
robust-tp	val	24.56	24.62	85.6	0.2083	9604	80.6	16.74	BTC/ETH/SOL	2026-03-23	robustness: TP 2.7%->2.5%
champion	val	24.41	24.48	84.7	0.2083	9774	80.8	16.60	BTC/ETH/SOL	2026-03-23	robustness: short momentum 1.0->0.85 (FINAL 3-coin)
8coin-baseline	val	29.93	29.93	82.0	0.1700	19958	81.1	16.80	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-23	8-coin val baseline (6 coins loaded, XRP/SUI no data)
8coin-regime-bear	2025-10_2025-11	24.08	24.08	0.0	0.2400	0	0.0	0.00	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-23	bear market Oct-Nov 2025
8coin-regime-flat	2025-07_2025-09	28.49	28.49	0.0	0.0700	0	0.0	0.00	AVAX/BTC/DOGE/ETH/LINK/SOL	2026-03-23	flat market Jul-Sep 2025
